model_id,model_type_id,name,description,private,resistance_type
83,40292,IMP-47,,1,0
166,40292,TEM-77,,1,0
370,40292,SHV-112,,1,0
432,40292,sav1866,,1,0
874,40292,AAC(1),,1,0
1204,40292,tcmA,,1,0
1302,40292,tet34,,1,0
1569,40292,catD,,1,0
1477,40292,SHV-39,,1,0
1976,40292,mefA,,1,0
2067,40292,CMY-131,,1,0
2082,40292,CMY-106,,1,0
2118,40292,OXA-193,,1,0
1974,40292,emrD,,1,0
2204,40292,AAC(6')-IId,AAC(6')-IId,1,0
2244,40292,vanSI,vanSI is a vanS variant found in the vanI gene cluster; it is a histidine kinase,1,0
2221,40292,VEB-1a,VEB-1a is a beta-lactamase that is found in Pseudomonas aeruginosa.,1,0
3309,40292,ampS,"amp(S) is an ampC-like beta-lactamase, aminopeptidase and penicillinase identified from Bartonella clarridgeiae.",1,0
2318,40292,adiY,adiY is a DNA-binding transcriptional activator of the adi system. Implicated in arginine-dependent acid resistance in Escherichia coli.,1,0
2332,40292,mfd,"mfd dissociates transcription elongation complexes blocked at nonpairing lesions and mediates recruitment of DNA repair proteins. The Mfd (mutation frequency decline) protein, also known as transcription-repair coupling factor, is responsible for ATP-dependent removal of stalled RNA polymerase from DNA lesions by inducing forward movement of the RNA polymerase and subsequent recruitment of nucleotide excision repair machinery to the sites of the lesions.",1,0
3350,40292,Lin,"Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein, complete CDS.",1,0
2417,40292,Clostridioides difficile toxin subunit b,Not to be confused with 'toxin B' (TcdB). Clostridioides difficile toxin subunit b (CTDb) binds to host cells and translocates CDTa (ADP-ribosyltransferase component of the Clostridioides difficile toxin) into the cytosol. CDTb is activated by serine proteases and binds to lipolysis stimulated lipoprotein receptor.,1,0
2415,40292,Clostridioides difficile toxin subunit a,Not to be confused with 'toxin A' (TcdA). Clostridioides difficile toxin subunit a (CtdA) is the ADP-ribosyltransferase component of the Clostridioides difficile toxin (CDT).,1,0
2431,40292,hp1184,hp1184 is a translocase that belongs to the MATE efflux pump family. It is found in H. pylori and is involved in the active efflux of antibiotics.,1,0
3352,40292,tetR(G),Class G tetracycline resistance determinant from Vibrio anguillarum,1,0
2443,40292,pilX11,conjugal transfer protein,1,0
2447,40292,traE,The traE gene a homologue of Escherichia coli DNA topoisomerase III,1,0
2442,40292,pilX10,conjugal transfer protein,1,0
2438,40292,pilX8,conjugal transfer gene,1,0
2439,40292,colicin immunity protein,"Immunity proteins against Colicins (EcCIP) are produced alongside the relevant colicin protein (EcCol) to protect the cell from the cytotoxic domain of the colicin. Usually this involves binding to and blocking the active site of the domain, to prevent it from targeting the cells own mechanisms.",1,0
2437,40292,pilX7,conjugal transfer gene,1,0
2449,40292,repC,protein required for initiation of replication,1,0
2464,40292,Ace,"Ace is a microbial surface component recognizing adhesive matrix molecules (MSCRAMM) from Enterococcus faecalis. Ace mediates binding to immobilized collagen type I, collagen type IV, and mouse laminin.",1,0
2484,40292,hydrolase,hydrolyze,1,0
2501,40292,IS1 InsB,tranposase,1,0
2497,40292,TraB,conjugal transfer protein,1,0
2531,40292,Sin,Serine recombinases can rearrange DNA sequences with topological selectivity.,1,0
2513,40292,HlgC,HlgC is one of the S components of γ-hemolysin. HlgC may combine with any of the F components (HlgB or LukF-PV) produced by Staphylococcus aureus to form an active toxin molecule.,1,0
2539,40292,transposase IS66 family protein,Catalysis of the transposition of transposable elements or transposons. Transposases are involved in recombination required for transposition and are site-specific for the transposon/transposable element.,1,0
3375,40292,grm,Gentamicin-resistance methyltransferase (aminoglycoside-resistant),1,0
3354,40292,nimB,nimbi can confer 5-nitroimidazole resistance to susceptible strains of Bacteroides,1,0
2609,40292,heat-stable toxin,"Heat-stable toxin from Enterotoxigenic Escherichia coli (ETEC) activates guanylate cyclase resulting in ion secretion, leading to the loss of electrolytes and water from intestinal cells.",1,0
2556,40292,LukS-PV,Panton-Valentine leukocidin chain S precursor,1,0
2472,40292,ParA,Partitioning protein,1,0
2534,40292,ArsR family transcriptional regulator,functions as a transcriptional repressor of an arsenic resistance operon,1,0
2608,40292,EltB,heat-labile toxin from Enterotoxigenic Escherichia coli (ETEC) is an AB toxin that ADP ribosylates and activates adenylate cyclase resulting in ion secretion. This causes cholera-like diarrhea in humans and animals. The B subunit binds ganglioside GM1 in the host cell membrane.,1,0
2633,40292,Vibrio cholerae cytolysin,"Vibrio cholerae cytolysin (VCC) is a pore-forming toxin that acts on the target cells by forming transmembrane oligomeric β-barrel pores, thereby leading to permeabilization of the target cell membranes.",1,0
2581,40292,HBL-L1,"HBL-L1 is a component of Hemolysin BL, a membrane-lytic toxin from Bacillus cereus. HBL-B first binds to the cell membrane, followed by the ordered recruitment of first L1 and then L2.The membrane-associated HBL components form a membrane attack complex that causes lysis by a colloid osmotic mechanism",1,0
2626,40292,accessory cholera enterotoxin,"Accessory cholera enterotoxin (Ace) is a toxin from Vibrio cholerae, a pathogen that causes the potentially lethal disease cholera through the elaboration of the intestinal secretogen cholera toxin. Accessory cholera enterotoxin produces fluid accumulation when measured using in vitro models",1,0
2530,40292,MarR famiy transcriptional regulator,Transcriptional regulator,1,0
2546,40292,CylR1,"Cytolysin operon-encoded regulatory proteins, CylR1 and CylR2, cooperatively repress toxin expression",1,0
2610,40292,cytotoxic necrotizing factor 1,"Cytotoxic necrotizing factor 1 is a toxin expressed by certain uropathogenic and neonatal meningitis-causing strains of E. coli. It induces the formation of actin stress fibers and membrane ruffling, necrosis",1,0
2677,40292,Epsilon,"Epsilon antitoxin, produced by various prokaryotes, forms part of a post-segregational killing system, which is involved in the initiation of programmed cell death of plasmid-free cells.",1,0
2441,40292,pilX9,conjugal transfer protein,1,0
2958,40292,Tse4,A toxic effector protein secreted by the type vi secretion system of Pseudomonas aeruginosa,1,0
2603,40292,Stx1A,"Shiga toxin are A-B toxins produced by several enteric pathogens, most importantly Shigella dysenteriae (serotype 1 only) and Enterohaemorrhagic Escherichia coli (EHEC). Shiga toxins are important factors in disease pathogenesis and are responsible for the haemolytic uremic syndrome (HUS). Subunit A is the active component of the toxin.",1,0
2632,40292,TDH-related hemolysin,TDH-related hemolysin (TRH) from Vibrio parahaemolyticus is a pore-forming toxin that activates cl- channels resulting in altered ion flux. It is a heat labile toxin and immunologically similar to TDH.,1,0
2544,40292,CylS,"Cytolysin is comprised of two nonidentical peptide subunits: CylLL(the long subunit) and CylLS (the short subunit), both of which are required for lytic activity",1,0
2548,40292,Tn3 family transposase,Catalysis of the transposition of transposable elements or transposons. Transposases are involved in recombination required for transposition and are site-specific for the transposon/transposable element.,1,0
2741,40292,DNA-invertase hin,Hin belongs to the serine recombinase family of DNA invertases in which it relies on the active site serine to initiate DNA cleavage and recombination.,1,0
2506,40292,β-hemolysin,β-hemolysin is a toxin produced by Staphylococcus aureus that process hemolytic activity for erythrocytes and also plays an important role in skin colonization by damaging keratinocytes,1,0
2454,40292,Chromate transport protein,"These proteins reduce chromate accumulation and are essential for chromate resistance. They are composed of one or two copies of this region. The short-chain CHR proteins form heterodimer transporters which efflux chromate ions from the cytoplasm, while the long chain CHR proteins appear to have arisen from a gene fusion event of two short chain transporters",1,0
2511,40292,TraX,conjugal transfer protein,1,0
2585,40292,NheC,"NheC is a binding component of nonhemolytic enterotoxin. Along with another binding components NheB and  cytolytic protein component NheA, nonhemolytic enterotoxin is a pore-forming toxin possesses hemolytic, cytotoxic, dermonecrotic, and vascular permeability activities",1,0
2657,40292,VagC,Antitoxin of the VagCD toxin-antitoxin system,1,0
2628,40292,CtxA,"Cholera toxin from Vibrio cholerae is an AB toxin that causes severe disruption of intestinal cell function, leading to the watery secretory diarrhea characteristic of cholera. The A subunit is the active heterodimeric protein subunit.",1,0
2545,40292,CylM,CylM posttranslationally modifies the CylLL and CylLS precursors.,1,0
